__type;Title;Name;Description;Adress;latitude;longitude;
VEMaps.PinData;ECOLE MATERNELLE 27 RUE LA SOURDIERE;;;27  RUE DE LA SOURDIERE 75001 PARIS;48.8667748;2.3328349;
VEMaps.PinData;ECOLE MATERNELLE 6 RUE SAINT-GERMAIN L'AUXERROIS;;;6  RUE SAINT-GERMAIN L'AUXERROIS 75001 PARIS;48.8582208;2.3450923;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 11 RUE ARGENTEUIL;;;11  RUE D' ARGENTEUIL 75001 PARIS;48.864939;2.3338453;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 15 RUE ARBRE SEC;;;15  RUE DE L' ARBRE SEC 75001 PARIS;48.8597031;2.3419602;
VEMaps.PinData;ECOLE POLYVALENTE 28 RUE CAMBON;;;28  RUE CAMBON 75001 PARIS;48.8681342;2.3268589;
VEMaps.PinData;MAIRIE DU 1ER ARRONDISSEMENT;;;4  PLACE DU LOUVRE 75001 PARIS;48.860138;2.3411188;
VEMaps.PinData;MAISON PROVISOIRE DES ASSOCIATIONS;;;101  RUE RAMBUTEAU 75001 PARIS;48.8626844;2.3468031;
VEMaps.PinData;ECOLE MATERNELLE 11 RUE VIVIENNE;;;11  RUE VIVIENNE 75002 PARIS;48.86735;2.3391885;
VEMaps.PinData;ECOLE MATERNELLE 12 RUE DUSSOUBS;;;12  RUE DUSSOUBS 75002 PARIS;48.8651293;2.3486038;
VEMaps.PinData;ECOLE MATERNELLE 221 RUE SAINT-DENIS;;;221  RUE SAINT-DENIS 75002 PARIS;48.8676223;2.3516106;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 3 RUE JUSSIENNE;;;3  RUE DE LA JUSSIENNE 75002 PARIS;48.864875;2.345026;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 42 RUE DUSSOUBS;;;42  RUE DUSSOUBS 75002 PARIS;48.8672653;2.3497344;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 6 RUE DE LOUVOIS;;;6  RUE DE LOUVOIS 75002 PARIS;48.867878;2.338017;
VEMaps.PinData;ECOLE POLYVALENTE 20 RUE ETIENNE MARCEL;;;20  RUE ETIENNE MARCEL 75002 PARIS;48.8641239;2.3483981;
VEMaps.PinData;ECOLE POLYVALENTE 5 RUE BEAUREGARD;;;5  RUE BEAUREGARD 75002 PARIS;48.8692652;2.3483438;
VEMaps.PinData;MAIRIE DU 2E ARRONDISSEMENT;;;8  RUE DE LA BANQUE 75002 PARIS;48.866806;2.3403472;
VEMaps.PinData;MAISON DES ASSOCIATIONS RUE GRENETA;;;23  RUE GRENETA 75002 PARIS;48.8650784;2.3506374;
VEMaps.PinData;ECOLE MATERNELLE 25 RUE CHAPON;;;25  RUE CHAPON 75003 PARIS;48.8642519;2.3551473;
VEMaps.PinData;ECOLE MATERNELLE 5 RUE BRANTOME;;;5  RUE BRANTOME 75003 PARIS;48.8618792;2.3527998;
VEMaps.PinData;ECOLE MATERNELLE 52 RUE TURENNE;;;52  RUE DE TURENNE 75003 PARIS;48.8583946;2.364506;
VEMaps.PinData;ECOLE MATERNELLE 6 RUE PAUL DUBOIS;;;6  RUE PAUL DUBOIS 75003 PARIS;48.8656045;2.3616199;
VEMaps.PinData;ECOLE MATERNELLE 7 RUE PERLE;;;7  RUE DE LA PERLE 75003 PARIS;48.860169;2.360188;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 3 RUE BERANGER;;;3  RUE BERANGER 75003 PARIS;48.8650843;2.3642931;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 54 RUE TURENNE;;;54  RUE DE TURENNE 75003 PARIS;48.8586081;2.3647036;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 6 RUE VAUCANSON;;;6  RUE VAUCANSON 75003 PARIS;48.8670651;2.3567355;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 8 RUE VERTUS;;;8  RUE DES VERTUS 75003 PARIS;48.8636192;2.3574791;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 10 B RUE QUATRE FILS;;;10B  RUE DES QUATRE FILS 75003 PARIS;48.8634799;2.3591145;
VEMaps.PinData;ECOLE POLYVALENTE 211 RUE SAINT-MARTIN;;;211  RUE SAINT-MARTIN 75003 PARIS;48.863356;2.35256;
VEMaps.PinData;MAIRIE DU 3E ARRONDISSEMENT;;;2  RUE EUGENE SPULLER 75003 PARIS;48.8637558;2.3613364;
VEMaps.PinData;MAISON DES ASSOCIATIONS DU 3ÈME ARRONDISSEMENT MADELEINE REBERIOUX;;;5  RUE PERREE 75003 PARIS;48.8640521;2.3623013;
VEMaps.PinData;SALLES ASSOCIATIVES SILVA MONFORT;;;2b  RUE ELZEVIR 75003 PARIS;48.8577078;2.3607303;
VEMaps.PinData;ECOLE MATERNELLE 12 PL VOSGES;;;12  PLACE DES VOSGES 75004 PARIS;48.8551664;2.3663657;
VEMaps.PinData;ECOLE MATERNELLE 18 RUE POULLETIER;;;18  RUE POULLETIER 75004 PARIS;48.8516315;2.3585374;
VEMaps.PinData;ECOLE MATERNELLE 4 RUE FAUCONNIER;;;4  RUE DU FAUCONNIER 75004 PARIS;48.8537107;2.3596707;
VEMaps.PinData;ECOLE MATERNELLE 40 RUE ARCHIVES;;;40  RUE DES ARCHIVES 75004 PARIS;48.8590855;2.3558647;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 9 RUE MOUSSY;;;9  RUE DE MOUSSY 75004 PARIS;48.858459;2.355342;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 15 RUE NEUVE SAINT-PIERRE;;;15  RUE NEUVE SAINT-PIERRE 75004 PARIS;48.8538891;2.3631323;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 16 RUE RENARD;;;16  RUE DU RENARD 75004 PARIS;48.8591489;2.3534007;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 21 RUE DES TOURNELLES;;;21B  RUE DES TOURNELLES 75004 PARIS;48.8546661;2.3673315;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 21 RUE SAINT-LOUIS EN L'ILE;;;21  RUE SAINT-LOUIS EN L'ILE 75004 PARIS;48.8515183;2.3573375;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 22 RUE AVE MARIA;;;22  RUE DE L' AVE MARIA 75004 PARIS;48.8526475;2.3605469;
VEMaps.PinData;ECOLE POLYVALENTE 10 RUE HOSPITALIERES SAINT-GERVAIS;;;10  RUE DES HOSPITALIERES SAINT-GERVAIS 75004 PARIS;48.8580814;2.3590459;
VEMaps.PinData;ECOLE POLYVALENTE 11 RUE SAINT-MERRI;;;11  RUE SAINT-MERRI 75004 PARIS;48.8593385;2.3529557;
VEMaps.PinData;MAIRIE DU 4E ARRONDISSEMENT;;;2  PLACE BAUDOYER 75004 PARIS;48.8559279;2.3553172;
VEMaps.PinData;ANNEXE MAIRIE D'ARRONDISSEMENT DU 4E BARRES;;;17  RUE DES BARRES 75004 PARIS;48.8556373;2.3555237;
VEMaps.PinData;MAISON DES ASSOCIATIONS 30 BD HENRI IV;;;38  BOULEVARD HENRI IV 75004 PARIS;48.8521964;2.3659378;
VEMaps.PinData;ESPACE D’ANIMATION DES BLANCS MANTEAUX;;;48  RUE VIEILLE DU TEMPLE 75004 PARIS;48.8582394;2.3583897;
VEMaps.PinData;LOCAL DU CONSEIL DE LA JEUNESSE RUE FRANCOIS MIRON;;;14  RUE FRANCOIS MIRON 75004 PARIS;48.8558984;2.3554569;
